,type,reference,price,neighbourhood,area,rooms,plant,lift,parking,district
611,Flat,/en/inmueble/87294786/,1995000,Sant Gervasi - Galvany,367,6,4.0,lift,no,Sarrià-Sant Gervasi
612,House,/en/inmueble/101170920/,1600000,Vallcarca i els Penitents,404,7,,no lift,yes,Gràcia
613,Flat,/en/inmueble/101602884/,750000,la Vila Olímpica del Poblenou,128,4,1.0,lift,yes,Sant Martí
614,Flat,/en/inmueble/100934636/,2149000,Pedralbes,195,5,1.0,lift,no,Les Corts
615,Penthouse,/en/inmueble/96691900/,1090000,Sant Gervasi - Galvany,150,3,8.0,lift,no,Sarrià-Sant Gervasi
616,Flat,/en/inmueble/101120527/,147500,el Turó de la Peira,59,3,4.0,no lift,no,Nou Barris
617,Flat,/en/inmueble/101339916/,580000,les Corts,114,3,0.0,no lift,no,Les Corts
618,Flat,/en/inmueble/100601612/,340000,el Carmel,145,4,2.0,lift,no,Horta-Guinardó
619,Flat,/en/inmueble/96965683/,1090000,Sant Gervasi - Galvany,149,3,8.0,lift,no,Sarrià-Sant Gervasi
620,Flat,/en/inmueble/101344700/,320000,l'Antiga Esquerra de l'Eixample,61,3,3.0,lift,no,Eixample
621,Flat,/en/inmueble/101183050/,540000,el Barri Gòtic,130,4,2.0,lift,no,Ciutat Vella
622,Flat,/en/inmueble/98269201/,550000,el Poblenou,312,3,,no lift,no,Sant Martí
623,Flat,/en/inmueble/100683533/,675000,Sant Gervasi - Galvany,149,4,1.0,lift,no,Sarrià-Sant Gervasi
624,House,/en/inmueble/101262103/,1490000,Sant Gervasi - la Bonanova,151,4,,no lift,no,Sarrià-Sant Gervasi
625,Flat,/en/inmueble/99890509/,950000,Sant Gervasi - Galvany,207,5,2.0,lift,no,Sarrià-Sant Gervasi
626,Flat,/en/inmueble/101615105/,300000,el Congrés i els Indians,90,3,4.0,lift,no,Sant Andreu
627,Flat,/en/inmueble/100320064/,480000,la Nova Esquerra de l'Eixample,115,4,4.0,lift,no,Eixample
629,Flat,/en/inmueble/100454446/,310000,Sant Antoni,86,3,4.0,lift,no,Eixample
630,Flat,/en/inmueble/101613198/,275000,el Baix Guinardó,63,3,1.0,lift,no,Horta-Guinardó
633,Flat,/en/inmueble/100923748/,1490000,el Barri Gòtic,300,7,2.0,lift,no,Ciutat Vella
634,Flat,/en/inmueble/100064228/,1195000,la Dreta de l'Eixample,195,3,10.0,lift,no,Eixample
635,House,/en/inmueble/96718205/,1250000,el Putxet i el Farró,487,4,,no lift,no,Sarrià-Sant Gervasi
636,Flat,/en/inmueble/97813064/,602000,la Dreta de l'Eixample,96,2,5.0,lift,no,Eixample
637,Flat,/en/inmueble/101612472/,315000,la Sagrada Família,80,4,,no lift,no,Eixample
638,Flat,/en/inmueble/100629626/,280000,el Poble-sec,68,2,3.0,lift,no,Sants-Montjuïc
639,Flat,/en/inmueble/101528724/,825000,el Barri Gòtic,97,3,1.0,no lift,no,Ciutat Vella
640,Flat,/en/inmueble/101617620/,344000,el Camp de l'Arpa del Clot,75,3,4.0,lift,no,Sant Martí
641,Flat,/en/inmueble/101610353/,535500,el Putxet i el Farró,83,2,2.0,lift,no,Sarrià-Sant Gervasi
642,Flat,/en/inmueble/101610334/,435000,Sants,87,4,7.0,lift,no,Sants-Montjuïc
643,Penthouse,/en/inmueble/100994243/,620000,el Camp d'en Grassot i Gràcia Nova,96,3,5.0,lift,no,Gràcia
644,Flat,/en/inmueble/101163544/,215000,el Camp d'en Grassot i Gràcia Nova,47,2,1.0,no lift,no,Gràcia
646,Flat,/en/inmueble/99851679/,730000,l'Antiga Esquerra de l'Eixample,178,4,2.0,lift,no,Eixample
